email_text,label
"You have an unclaimed lottery prize. Claim your $1,000,000 now!",spam
Thanks for your help with the presentation. It went really well!,ham
Congratulations! You've won a free iPhone. Click the link to claim now.,spam
"Hey, are we still on for the meeting tomorrow at 10 AM?",ham
Congratulations! You've won a free iPhone. Click the link to claim now.,spam
Please find the attached report for your review.,ham
Limited-time offer! Get 90% off on your next purchase. Act fast!,spam
The project deadline has been extended. Please update your schedules accordingly.,ham
Congratulations! You've won a free iPhone. Click the link to claim now.,spam
Thanks for your help with the presentation. It went really well!,ham
Limited-time offer! Get 90% off on your next purchase. Act fast!,spam
The project deadline has been extended. Please update your schedules accordingly.,ham
Congratulations! You've won a free iPhone. Click the link to claim now.,spam
Please find the attached report for your review.,ham
Limited-time offer! Get 90% off on your next purchase. Act fast!,spam
"Hey, are we still on for the meeting tomorrow at 10 AM?",ham
Congratulations! You've won a free iPhone. Click the link to claim now.,spam
Please find the attached report for your review.,ham
Congratulations! You've won a free iPhone. Click the link to claim now.,spam
Looking forward to catching up this weekend. Let me know your availability.,ham
Urgent: Your bank account has been compromised. Verify your details immediately.,spam
The project deadline has been extended. Please update your schedules accordingly.,ham
Limited-time offer! Get 90% off on your next purchase. Act fast!,spam
Looking forward to catching up this weekend. Let me know your availability.,ham
Limited-time offer! Get 90% off on your next purchase. Act fast!,spam
The project deadline has been extended. Please update your schedules accordingly.,ham
Congratulations! You've won a free iPhone. Click the link to claim now.,spam
Please find the attached report for your review.,ham
Earn money from home easily. Sign up for our work-from-home program today!,spam
The project deadline has been extended. Please update your schedules accordingly.,ham
Congratulations! You've won a free iPhone. Click the link to claim now.,spam
Thanks for your help with the presentation. It went really well!,ham
Congratulations! You've won a free iPhone. Click the link to claim now.,spam
Thanks for your help with the presentation. It went really well!,ham
Urgent: Your bank account has been compromised. Verify your details immediately.,spam
Please find the attached report for your review.,ham
Limited-time offer! Get 90% off on your next purchase. Act fast!,spam
Thanks for your help with the presentation. It went really well!,ham
Urgent: Your bank account has been compromised. Verify your details immediately.,spam
"Hey, are we still on for the meeting tomorrow at 10 AM?",ham
Congratulations! You've won a free iPhone. Click the link to claim now.,spam
The project deadline has been extended. Please update your schedules accordingly.,ham
"You have an unclaimed lottery prize. Claim your $1,000,000 now!",spam
"Hey, are we still on for the meeting tomorrow at 10 AM?",ham
Earn money from home easily. Sign up for our work-from-home program today!,spam
Looking forward to catching up this weekend. Let me know your availability.,ham
Urgent: Your bank account has been compromised. Verify your details immediately.,spam
The project deadline has been extended. Please update your schedules accordingly.,ham
Limited-time offer! Get 90% off on your next purchase. Act fast!,spam
The project deadline has been extended. Please update your schedules accordingly.,ham
Earn money from home easily. Sign up for our work-from-home program today!,spam
The project deadline has been extended. Please update your schedules accordingly.,ham
Limited-time offer! Get 90% off on your next purchase. Act fast!,spam
The project deadline has been extended. Please update your schedules accordingly.,ham
Urgent: Your bank account has been compromised. Verify your details immediately.,spam
Please find the attached report for your review.,ham
Limited-time offer! Get 90% off on your next purchase. Act fast!,spam
Looking forward to catching up this weekend. Let me know your availability.,ham
Urgent: Your bank account has been compromised. Verify your details immediately.,spam
Please find the attached report for your review.,ham
Earn money from home easily. Sign up for our work-from-home program today!,spam
Thanks for your help with the presentation. It went really well!,ham
"You have an unclaimed lottery prize. Claim your $1,000,000 now!",spam
The project deadline has been extended. Please update your schedules accordingly.,ham
Earn money from home easily. Sign up for our work-from-home program today!,spam
Looking forward to catching up this weekend. Let me know your availability.,ham
Limited-time offer! Get 90% off on your next purchase. Act fast!,spam
Thanks for your help with the presentation. It went really well!,ham
Urgent: Your bank account has been compromised. Verify your details immediately.,spam
"Hey, are we still on for the meeting tomorrow at 10 AM?",ham
Limited-time offer! Get 90% off on your next purchase. Act fast!,spam
Please find the attached report for your review.,ham
"You have an unclaimed lottery prize. Claim your $1,000,000 now!",spam
Please find the attached report for your review.,ham
Urgent: Your bank account has been compromised. Verify your details immediately.,spam
Looking forward to catching up this weekend. Let me know your availability.,ham
Congratulations! You've won a free iPhone. Click the link to claim now.,spam
The project deadline has been extended. Please update your schedules accordingly.,ham
"You have an unclaimed lottery prize. Claim your $1,000,000 now!",spam
The project deadline has been extended. Please update your schedules accordingly.,ham
"You have an unclaimed lottery prize. Claim your $1,000,000 now!",spam
Thanks for your help with the presentation. It went really well!,ham
Earn money from home easily. Sign up for our work-from-home program today!,spam
Please find the attached report for your review.,ham
Earn money from home easily. Sign up for our work-from-home program today!,spam
The project deadline has been extended. Please update your schedules accordingly.,ham
Limited-time offer! Get 90% off on your next purchase. Act fast!,spam
Please find the attached report for your review.,ham
Earn money from home easily. Sign up for our work-from-home program today!,spam
